Aasta;Test;Testi ID;Sugu;Kooli tüüp;Õppekeel;Soorituskeel;Maakond;Õppeasutus;Õppevorm;Sooritajaid;Max võimalik pallide arv;Keskmine;Keskmine (%);Mediaan;St hälve;Min punktide saajad;Max punktide saajad;Min;Max;AUP;ÜUP
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Ida-Viru maakond;Kiviõli I Keskkool;statsionaarne õpe;11;100;49,8;49,8;51;21;0;0;20;92;35,7;63,9
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Hiiu maakond;Hiiumaa Gümnaasium;statsionaarne õpe;25;100;64,6;64,6;66;13,1;0;0;44;90;59,2;70,1
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;inglise;Eesti keel;Harju maakond;EBS Gümnaasium;statsionaarne õpe;6;100;61,8;61,8;59;14,9;0;0;45;81;46,2;77,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kiili Gümnaasium;statsionaarne õpe;14;100;44,2;44,2;40,5;12,3;0;0;29;72;37,1;51,3
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kehra Gümnaasium;statsionaarne õpe;9;100;76;76;82;14,9;0;0;54;91;64,5;87,5
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Kuristiku Gümnaasium;statsionaarne õpe;21;100;57;57;55;16,9;0;0;16;93;49,3;64,6
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Kose Gümnaasium;statsionaarne õpe;15;100;67,5;67,5;71;17,7;0;0;33;94;57,7;77,3
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Saare maakond;Orissaare Gümnaasium;statsionaarne õpe;12;100;62,3;62,3;56,5;18;0;0;43;93;50,9;73,8
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Laagna Gümnaasium;statsionaarne õpe;15;100;55;55;55;16,4;0;0;30;85;45,9;64,1
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Ida-Viru maakond;Jõhvi Gümnaasium;statsionaarne õpe;16;100;55,9;55,9;56,5;19,4;0;0;12;82;45,5;66,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Tapa Gümnaasium;statsionaarne õpe;10;100;68,3;68,3;69;12,6;0;0;48;90;59,3;77,3
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Järva maakond;Järva-Jaani Gümnaasium;statsionaarne õpe;6;100;61,2;61,2;64,5;9,7;0;0;49;70;50,9;71,4
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Saku Gümnaasium;statsionaarne õpe;28;100;54,8;54,8;57;17,9;0;0;19;87;47,9;61,8
2020;Eesti keel (riigieksam 2020);5977;N;kutseõppeasutus;eesti;Eesti keel;Tartu maakond;Tartu Kutsehariduskeskus;statsionaarne õpe - koolipõhine õpe;35;100;44,8;44,8;43;17,9;0;0;10;91;38,6;51
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Ida-Viru maakond;Kohtla-Järve Gümnaasium;statsionaarne õpe;19;100;73,3;73,3;77;16;0;0;21;90;65,5;81
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Lääne-Viru maakond;Rakvere Täiskasvanute Gümnaasium;mittestatsionaarne õpe;8;100;48,5;48,5;51;25,9;0;0;13;84;26,8;70,2
2020;Eesti keel (riigieksam 2020);5977;N;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Vaba Waldorfkool;statsionaarne õpe;7;100;61,6;61,6;59;9,3;0;0;51;79;52,9;70,2
2020;Eesti keel (riigieksam 2020);5977;N;kutseõppeasutus;eesti;Eesti keel;Tartu maakond;Tartu Kunstikool;statsionaarne õpe - koolipõhine õpe;9;100;58,4;58,4;57;18,8;0;0;32;82;44;72,9
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Tallinna Saksa Gümnaasium;statsionaarne õpe;27;100;60,7;60,7;64;14,4;0;0;36;83;55;66,4
2020;Eesti keel (riigieksam 2020);5977;M;põhikool või gümnaasium;eesti;Eesti keel;Harju maakond;Pirita Majandusgümnaasium;statsionaarne õpe;30;100;59,2;59,2;61;14,3;0;0;32;88;53,9;64,6
